
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP, SETPOINT CONVENTION (NO MEAN RENORMALISATION): run-time reduction at matched balanced fidelity
  Same sweep as `noise` but with delta = 0 taken as the laser setpoint, so the mean rate is free to move. Mean-preserving renormalisation pushes the median switching gain below 1 when the photon order is ~4, which makes the typical shot easier and could mask harm; this is the cross-check.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.68       5.55        5.24       5.24        4.95     1.12    [1.10,1.13]    1.06      1.06
                           0.69       5.94        5.52       5.52        5.26     1.13    [1.12,1.14]    1.08      1.08
                           0.70       6.34        5.82       5.82        5.58     1.14    [1.12,1.15]    1.09      1.09
                           0.71       6.80        6.13       6.13        5.93     1.15    [1.13,1.16]    1.11      1.11
                           0.72       7.28        6.46       6.46        6.30     1.16    [1.14,1.17]    1.13      1.13
                           0.73       7.75        6.81       6.81        6.69     1.16    [1.15,1.17]    1.14      1.14
                           0.74       8.28        7.18       7.18        7.10     1.17    [1.16,1.17]    1.15      1.15
                           0.75       8.87        7.56       7.56        7.88     1.13    [1.10,1.18]    1.17      1.17
                           0.76       9.49        9.44       9.44        9.37     1.01    [1.01,1.19]    1.01      1.01
                           0.77      10.13        9.84       9.84        9.48     1.07    [1.04,1.10]    1.03      1.03
                           0.78      10.80       10.26      10.26        9.59     1.13    [1.09,1.16]    1.05      1.05
                           0.79      11.50       10.69      10.69        9.70     1.19    [1.15,1.22]    1.08      1.08
                           0.80      12.25       11.15      11.15        9.88     1.24    [1.22,1.25]    1.10      1.10
                           0.81      13.10       11.62      11.62       10.46     1.25    [1.25,1.26]    1.13      1.13
                           0.82      14.06       12.12      12.12       11.14     1.26    [1.16,1.27]    1.16      1.16
                           0.83      15.15       12.63      12.63       12.52     1.21    [1.17,1.25]    1.20      1.20
                           0.84      16.29       13.17      13.17       12.69     1.28    [1.23,1.30]    1.24      1.24
                           0.85      17.76       13.73      13.73       13.68     1.30    [1.25,1.33]    1.29      1.29
                           0.86      19.48       19.27      19.27       14.75     1.32    [1.16,1.35]    1.01      1.01
                           0.87      21.46       20.45      20.45       16.79     1.28    [1.22,1.34]    1.05      1.05
                           0.88      24.25       21.70      21.70       17.92     1.35    [1.28,1.40]    1.12      1.12
                           0.89      27.60       23.03      23.03       22.82     1.21    [1.17,1.38]    1.20      1.20
                           0.90      32.91       24.44      24.44       22.87     1.44    [1.32,1.63]    1.35      1.35
--------------------------------------------------------------------------------------------------------------------
      sigma0.2      10.4   0.55       1.34        4.23       4.23        1.26     1.06    [1.04,1.08]    0.32      0.32
                           0.56       1.61        4.23       4.23        1.52     1.06    [1.04,1.08]    0.38      0.38
