
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP (GAUSSIAN, TAU_C = 100 US): run-time reduction at matched balanced fidelity
  A single fractional intensity fluctuation drives emission linearly and switching quadratically, as the photon order requires. The filter is built from the NOMINAL rates, so this is the one error a calibrated boundary cannot absorb.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.59       2.31        4.21       4.21        2.13     1.08    [1.06,1.11]    0.55      0.55
                           0.60       2.63        4.21       4.21        2.43     1.08    [1.06,1.10]    0.62      0.62
                           0.61       2.95        4.21       4.21        2.77     1.06    [1.06,1.08]    0.70      0.70
                           0.62       3.28        4.21       4.21        3.04     1.08    [1.07,1.09]    0.78      0.78
                           0.63       3.64        4.21       4.21        3.34     1.09    [1.07,1.11]    0.86      0.86
                           0.64       4.01        4.21       4.21        3.67     1.09    [1.00,1.10]    0.95      0.95
                           0.65       4.38        4.21       4.21        4.21     1.04    [1.00,1.09]    1.04      1.04
                           0.66       4.76        4.72       4.72        4.32     1.10    [1.04,1.11]    1.01      1.01
                           0.67       5.16        4.99       4.99        4.78     1.08    [1.06,1.11]    1.03      1.03
                           0.68       5.64        5.27       5.27        4.99     1.13    [1.11,1.14]    1.07      1.07
                           0.69       6.07        5.58       5.58        5.33     1.14    [1.13,1.15]    1.09      1.09
                           0.70       6.50        5.89       5.89        5.68     1.14    [1.13,1.16]    1.10      1.10
                           0.71       6.95        6.23       6.23        6.06     1.15    [1.13,1.16]    1.12      1.12
                           0.72       7.45        6.59       6.59        6.46     1.15    [1.14,1.16]    1.13      1.13
                           0.73       8.01        6.96       6.96        6.89     1.16    [1.16,1.17]    1.15      1.15
                           0.74       8.60        7.36       7.36        7.34     1.17    [1.10,1.18]    1.17      1.17
                           0.75       9.20        7.78       7.78        7.89     1.17    [1.00,1.18]    1.18      1.18
                           0.76       9.81        9.66       9.66        9.43     1.04    [1.01,1.08]    1.02      1.02
                           0.77      10.49       10.09      10.09        9.55     1.10    [1.07,1.14]    1.04      1.04
                           0.78      11.22       10.54      10.54        9.66     1.16    [1.13,1.21]    1.06      1.06
                           0.79      11.99       11.01      11.01        9.78     1.23    [1.19,1.24]    1.09      1.09
                           0.80      12.77       11.50      11.50       10.27     1.24    [1.24,1.25]    1.11      1.11
                           0.81      13.61       12.01      12.01       10.84     1.25    [1.20,1.26]    1.13      1.13
                           0.82      14.78       12.55      12.55       12.56     1.18    [1.15,1.27]    1.18      1.18
                           0.83      16.14       13.11      13.11       12.69     1.27    [1.23,1.30]    1.23      1.23
                           0.84      17.58       13.69      13.69       13.39     1.31    [1.30,1.32]    1.28      1.28
                           0.85      19.08       19.06      19.06       14.78     1.29    [1.18,1.33]    1.00      1.00
                           0.86      20.71       20.14      20.14       16.44     1.26    [1.20,1.30]    1.03      1.03
                           0.87      22.79       21.27      21.27       16.87     1.35    [1.30,1.39]    1.07      1.07
                           0.88      25.53       22.47      22.47       22.13     1.15    [1.14,1.39]    1.14      1.14
                           0.89      30.44       23.74      23.74       22.39     1.36    [1.23,1.51]    1.28      1.28
