experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,p_bright_stationary,gamma_tot_khz,horizon_us,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.66,5.366491261648227,5.3554734490115985,5.3554734490115985,4.883358972437063,1.0989344203320066,1.08553864190379,1.123396089639474,1.002057299460361,1.024981402932889,1.1321104887346187,1.002057299460361,1.024981402932889,1.1321104887346187
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.67,5.823794250359816,5.628434050674193,5.628434050674193,5.438257347093588,1.0708934643323331,1.0971173173507023,1.1304081114907767,1.0347095120821788,1.0955311965998507,1.1593478637448793,1.0347095120821788,1.0955311965998507,1.1593478637448793
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.68,6.251136642887411,5.9153070525698155,5.9153070525698155,5.614422258923065,1.1134069285494885,1.103151238628673,1.1346920253493809,1.0567729768434757,1.1109730404778229,1.1830755645167998,1.0567729768434757,1.1109730404778229,1.1830755645167998
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.69,6.7048411713287654,6.216801549267662,6.216801549267662,5.952357534379739,1.1264177483632019,1.107776201329869,1.1505535407523906,1.0785033297578228,1.120926744035359,1.2010181079882858,1.0785033297578228,1.120926744035359,1.2010181079882858
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.7,7.18598750710937,6.533662776843767,6.533662776843767,6.315425574749414,1.1378469149950357,1.114564990570767,1.1650742754652719,1.0998405875150974,1.130625096662417,1.2109471190964387,1.0998405875150974,1.130625096662417,1.2109471190964387
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.71,7.655770547349988,6.866673954960414,6.866673954960414,6.700639193770321,1.142543319519079,1.12014612793981,1.1653609485923875,1.1149168575012272,1.1368288391909371,1.215096051847971,1.1149168575012272,1.1368288391909371,1.215096051847971
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.72,8.137539044373195,7.216658222833648,7.216658222833648,7.109349175866504,1.1446250343135485,1.1219032234099269,1.1669305948342372,1.127604882080443,1.139815562740645,1.2177041078738886,1.127604882080443,1.139815562740645,1.2177041078738886
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.73,8.670958189734668,7.5844806738741894,7.5844806738741894,7.542988697463988,1.1495388018611126,1.1311923769338255,1.1661804687925543,1.1432500869311992,1.1453167903129728,1.2231452669859333,1.1432500869311992,1.1453167903129728,1.2231452669859333
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.74,9.243014878324448,7.971050494031005,7.971050494031005,7.96712957413106,1.1601436618197016,1.1436893360059253,1.175764061086556,1.1595729929506697,1.1564004576261848,1.2301573228923874,1.1595729929506697,1.1564004576261848,1.2301573228923874
power,det_nonpar_dt50ns_ap0.01_tau100ns,2,P4.000,4.0,4.0,1.0,15.303426214481657,0.9607843137254902,7.761300815577383,0.11413830218248229,5.532312006136339,1084.5375303028661,0.75,9.852812361852923,8.37732320912311,8.37732320912311,8.370259132345796,1.1771215449923158,1.1590526318938372,1.1937345962133386,1.1761289514439373,1.1671341993488433,1.2327185691927685,1.1761289514439373,1.1671341993488433,1.2327185691927685
