
====================================================================================================
594 NM LASER-POWER SWEEP: run-time reduction at matched balanced fidelity
  Powers stay inside the [0.875, 15] uW range over which the Shields et al. (2015) rate fits were measured.
  detector: non-paralyzable dead time 50 ns, afterpulse p = 0.01 with tau = 100 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.70       7.19        6.53       6.53        6.32     1.14    [1.11,1.17]    1.10      1.10
                           0.71       7.66        6.87       6.87        6.70     1.14    [1.12,1.17]    1.11      1.11
                           0.72       8.14        7.22       7.22        7.11     1.14    [1.12,1.17]    1.13      1.13
                           0.73       8.67        7.58       7.58        7.54     1.15    [1.13,1.17]    1.14      1.14
                           0.74       9.24        7.97       7.97        7.97     1.16    [1.14,1.18]    1.16      1.16
                           0.75       9.85        8.38       8.38        8.37     1.18    [1.16,1.19]    1.18      1.18
                           0.76      10.48        8.80       8.80        8.84     1.19    [1.17,1.20]    1.19      1.19
                           0.77      11.09        9.25       9.25        9.51     1.17    [1.18,1.21]    1.20      1.20
                           0.78      11.80       11.62      11.62       10.97     1.08    [1.19,1.23]    1.02      1.02
                           0.79      12.69       12.13      12.13       10.97     1.16    [1.21,1.25]    1.05      1.05
                           0.80      13.43       12.66      12.66       10.97     1.22    [1.21,1.25]    1.06      1.06
                           0.81      14.14       13.21      13.21       11.68     1.21    [1.22,1.26]    1.07      1.07
                           0.82      14.99       13.79      13.79       12.01     1.25    [1.23,1.27]    1.09      1.09
                           0.83      15.99       14.40      14.40       12.67     1.26    [1.24,1.28]    1.11      1.11
                           0.84      17.36       15.03      15.03       13.56     1.28    [1.26,1.30]    1.15      1.15
                           0.85      18.92       15.69      15.69       14.50     1.31    [1.28,1.33]    1.21      1.21
                           0.86      20.59       16.38      16.38       15.45     1.33    [1.31,1.36]    1.26      1.26
                           0.87      22.35       17.10      17.10       16.60     1.35    [1.32,1.38]    1.31      1.31
                           0.88      24.73       24.62      24.62       18.16     1.36    [1.34,1.40]    1.00      1.00
                           0.89      27.11       26.64      26.68       22.48     1.21    [1.35,1.42]    1.02      1.02
                           0.90      30.24       28.83      28.91       22.67     1.33    [1.35,1.50]    1.05      1.05
                           0.91      37.06       31.20      31.32       26.85     1.38    [1.37,2.42]    1.18      1.19
--------------------------------------------------------------------------------------------------------------------
        P8.000       6.4   0.55       1.00        3.62       3.62        0.88     1.13    [1.02,1.31]    0.28      0.28
                           0.56       1.12        3.62       3.62        1.09     1.03    [1.00,1.10]    0.31      0.31
                           0.57       1.39        3.62       3.62        1.30     1.06    [1.01,1.10]    0.38      0.38
                           0.58       1.60        3.62       3.62        1.54     1.04    [1.02,1.09]    0.44      0.44
                           0.59       1.88        3.62       3.62        1.73     1.09    [1.04,1.15]    0.52      0.52
                           0.60       2.14        3.62       3.62        1.95     1.10    [1.06,1.14]    0.59      0.59
                           0.61       2.36        3.62       3.62        2.20     1.08    [1.05,1.11]    0.65      0.65
                           0.62       2.68        3.62       3.62        2.46     1.09    [1.06,1.11]    0.74      0.74
                           0.63       2.96        3.62       3.62        2.71     1.09    [1.06,1.12]    0.82      0.82
                           0.64       3.22        3.62       3.62        3.00     1.08    [1.06,1.11]    0.89      0.89
                           0.65       3.66        3.62       3.62        3.31     1.11    [1.06,1.12]    1.01      1.01
                           0.66       4.03        4.02       4.02        3.67     1.10    [1.09,1.12]    1.00      1.00
                           0.67       4.35        4.23       4.23        4.07     1.07    [1.10,1.13]    1.03      1.03
                           0.68       4.64        4.46       4.46        4.21     1.10    [1.11,1.13]    1.04      1.04
                           0.69       4.96        4.69       4.69        4.41     1.13    [1.11,1.15]    1.06      1.06
                           0.70       5.34        4.94       4.94        4.70     1.14    [1.11,1.16]    1.08      1.08
                           0.71       5.70        5.21       5.21        5.00     1.14    [1.11,1.16]    1.10      1.10
                           0.72       6.11        5.48       5.48        5.32     1.15    [1.12,1.17]    1.11      1.11
                           0.73       6.56        5.77       5.77        5.67     1.16    [1.13,1.18]    1.14      1.14
                           0.74       7.13        6.08       6.08        6.04     1.18    [1.15,1.19]    1.17      1.17
                           0.75       7.61        7.57       7.57        6.49     1.17    [1.18,1.21]    1.00      1.00
                           0.76       8.11        7.90       7.90        6.85     1.18    [1.18,1.22]    1.03      1.03
                           0.77       8.65        8.24       8.24        7.66     1.13    [1.18,1.23]    1.05      1.05
                           0.78       9.26        8.59       8.59        7.98     1.16    [1.19,1.24]    1.08      1.08
                           0.79       9.98        8.96       8.96        8.32     1.20    [1.20,1.26]    1.11      1.11
                           0.80      10.84        9.34       9.34        8.67     1.25    [1.23,1.29]    1.16      1.16
                           0.81      11.84        9.74       9.74        9.26     1.28    [1.25,1.30]    1.22      1.22
                           0.82      12.67       10.15      10.15        9.90     1.28    [1.27,1.31]    1.25      1.25
                           0.83      13.70       10.59      10.59       10.79     1.27    [1.28,1.33]    1.29      1.29
                           0.84      15.13       14.69      14.69       11.65     1.30    [1.29,1.36]    1.03      1.03
                           0.85      16.99       15.65      15.65       12.65     1.34    [1.32,1.39]    1.09      1.09
                           0.86      19.69       16.68      16.68       15.69     1.25    [1.30,1.43]    1.18      1.18
                           0.87      25.09       17.78      17.78       17.64     1.42    [1.08,1.49]    1.41      1.41
--------------------------------------------------------------------------------------------------------------------
       P15.000       2.9   0.55       1.00        3.10       3.10        0.99     1.02    [0.97,1.07]    0.32      0.32
                           0.56       1.20        3.10       3.10        1.17     1.03    [1.00,1.07]    0.39      0.39
                           0.57       1.47        3.10       3.10        1.37     1.08    [1.02,1.15]    0.47      0.47
                           0.58       1.75        3.10       3.10        1.58     1.11    [1.05,1.15]    0.56      0.56
                           0.59       1.93        3.10       3.10        1.82     1.06    [1.03,1.11]    0.62      0.62
                           0.60       2.22        3.10       3.10        2.10     1.06    [1.03,1.09]    0.72      0.72
                           0.61       2.49        3.10       3.10        2.30     1.08    [1.05,1.12]    0.80      0.80
                           0.62       2.76        3.10       3.10        2.52     1.10    [1.06,1.13]    0.89      0.89
                           0.63       3.02        3.10       3.10        2.75     1.10    [1.07,1.12]    0.97      0.97
                           0.64       3.27        3.10       3.10        3.10     1.05    [1.07,1.11]    1.05      1.05
                           0.65       3.55        3.51       3.51        3.41     1.04    [1.07,1.11]    1.01      1.01
