experiment,detector,physics_layer,point_index,point,photons_per_bright_dwell,snr_per_bright_dwell,a_over_c,cost_discard,band_lo,band_hi,L,offset,exact_L,exact_offset,exact_deadline_us,degenerate,sprt_risk,exact_risk,sprt_discard_rate,exact_discard_rate,sprt_accuracy_retained,exact_accuracy_retained,sprt_fidelity_all_shots,exact_fidelity_all_shots,sprt_yield_per_ms,exact_yield_per_ms,sprt_T_us,exact_T_us,learned_risk,learned_discard_rate,learned_accuracy_retained,learned_fidelity_all_shots,learned_yield_per_ms,learned_T_us,risk_reduction_pct
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.15,-1.7346010553881064,1.7346010553881062,2.795033089798302,0.0,2.795033089798302,0.0,29.840478040022404,0,0.10091102430555556,0.08086097201379085,0.05527777777777778,0.05277777777777778,0.9580270508673919,0.9505131964809385,0.9050694444444445,0.9003472222222222,35.6723890687098,72.6695406424947,26.483289930555557,13.034652673562086,0.07831949869791666,0.10798611111111112,0.9637212923316466,0.8596527777777778,59.94622136743567,14.880235460069445,3.1430160342875197
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.08,-2.4423470353692047,2.442347035369205,1.4968883209522534,1.0,1.8432684284784902,1.0,29.840478040022404,0,0.07621251085069444,0.07464522660653958,0.7038194444444444,0.7053472222222222,0.9631887456037515,0.9670044779637049,0.2852777777777778,0.2849305555555556,65.78736480583255,69.36902131626623,4.502088758680555,4.247613303269786,0.06804636501736111,0.16625,0.9701815758787273,0.8088888888888889,55.79674863164774,14.942626953125,8.840299492908699
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.04,-3.1780538303479453,3.1780538303479444,0.1,0.0,0.2831365416187968,0.2,1.753719507494665,1,0.042450694444444444,0.0410758027273798,0.9636111111111111,0.9684027777777777,1.0,0.9494505494505494,0.03638888888888889,0.03,18.631111111111125,85.11387129378424,1.953125,0.3712346970232311,0.04,1.0,nan,0.0,0.0,0.0,2.6190668372810664
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,500.0,0.02,-3.8918202981106265,3.8918202981106256,0.1,0.0,0.5286807249936678,0.5,1.753719507494665,1,0.023178472222222222,0.020259562366844862,0.9636111111111111,1.0,1.0,nan,0.03638888888888889,0.0,18.631111111111125,0.0,1.953125,0.1297811834224304,0.02,1.0,nan,0.0,0.0,0.0,1.2811844705473001
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,inf,nan,nan,0.8016630119985266,0.0,0.5286807249936678,-0.5,52.23928619596102,0,0.32061979166666665,0.3169943072193001,0.0,0.0,0.761875,0.7664583333333334,0.7618750000000001,0.7664583333333332,24.24395479512596,23.96568864395134,41.24739583333333,41.72632027631671,0.3195798611111111,0.0,0.7715277777777778,0.7715277777777778,21.952056099698922,45.55381944444444,-0.8156467901558442
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.45,-0.2006706954621511,0.20067069546215133,0.8016630119985266,0.0,0.5286807249936678,-0.5,52.23928619596102,0,0.32061979166666665,0.3169943072193001,0.0,0.0,0.761875,0.7664583333333334,0.7618750000000001,0.7664583333333332,24.24395479512596,23.96568864395134,41.24739583333333,41.72632027631671,0.3195581597222222,0.0,0.7715277777777778,0.7715277777777778,21.95728621665666,45.54296875,-0.8088008032107559
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.35,-0.6190392084062236,0.6190392084062236,0.8016630119985266,0.0,0.5286807249936678,-0.5,52.23928619596102,0,0.32061979166666665,0.3169943072193001,0.0,0.0,0.761875,0.7664583333333334,0.7618750000000001,0.7664583333333332,24.24395479512596,23.96568864395134,41.24739583333333,41.72632027631671,0.3195694444444444,0.0,0.7715277777777778,0.7715277777777778,21.954566244854398,45.548611111111114,-0.8123607164222004
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.25,-1.0986122886681096,1.0986122886681096,0.1516346206887207,0.0,0.2831365416187968,0.0,17.53719507494665,0,0.2481128472222222,0.2476863179431742,0.876875,0.8656250000000001,0.9616469261139312,0.958656330749354,0.11840277777777777,0.12881944444444443,10.187459599224308,10.44723398253221,12.0859375,12.862256193809301,0.24814756944444444,0.876875,0.9616469261139312,0.11840277777777777,10.172846589686586,12.10329861111111,-0.18622405351274457
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.15,-1.7346010553881064,1.7346010553881062,0.1,0.0,0.5286807249936678,0.5,17.53719507494665,1,0.15499305555555556,0.15086070381837213,0.9337500000000001,0.9864583333333333,0.9633123689727463,0.9794871794871794,0.06381944444444444,0.01326388888888889,10.599999999999987,10.360179617886576,6.25,1.307088020297191,0.15,1.0,nan,0.0,0.0,0.0,0.5705288365937744
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.08,-2.4423470353692047,2.442347035369205,0.1,0.0,0.5286807249936678,0.5,17.53719507494665,1,0.08963055555555556,0.08180862048503883,0.9337500000000001,0.9864583333333333,0.9633123689727463,0.9794871794871794,0.06381944444444444,0.01326388888888889,10.599999999999987,10.360179617886576,6.25,1.307088020297191,0.08,1.0,nan,0.0,0.0,0.0,2.2107945034589433
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.04,-3.1780538303479453,3.1780538303479444,0.1,0.0,0.5286807249936678,0.5,17.53719507494665,1,0.05239166666666667,0.04237250937392771,0.9955555555555555,0.9870138888888889,0.984375,0.9786096256684492,0.004375,0.012708333333333334,0.7111111111111157,9.935146607922018,6.25,1.307088020297191,0.04,1.0,nan,0.0,0.0,0.0,5.59917127633593
demo,ideal,nv_charge_readout_master_v1_4,2,sparse,2.7433398304322245,4.083053654584545,500.0,0.02,-3.8918202981106265,3.8918202981106256,0.1,0.0,0.5286807249936678,0.5,17.53719507494665,1,0.032480555555555554,0.022614176040594382,0.9955555555555555,1.0,0.984375,nan,0.004375,0.0,0.7111111111111157,0.0,6.25,1.307088020297191,0.02,1.0,nan,0.0,0.0,0.0,11.55989957759996
