
====================================================================================================
SWITCHING-RATE RATIO SWEEP AT FIXED GAMMA_TOT: run-time reduction at matched balanced fidelity
  Gamma_tot is held fixed, so blinks per window are constant and only the bright/dark asymmetry (p_bright = 1/(1+ratio)) varies.
  detector: ideal detector (no dead time, no afterpulsing)
  physics layer: builtin-reference
====================================================================================================
                           0.80      11.45       10.74        9.65     1.19    [1.20,1.24]      1.07
                           0.81      12.31       11.23        9.88     1.25    [1.23,1.26]      1.10
                           0.82      13.39       11.74       10.60     1.26    [1.25,1.29]      1.14
                           0.83      14.47       12.27       11.20     1.29    [1.26,1.31]      1.18
                           0.84      15.74       12.83       12.13     1.30    [1.28,1.32]      1.23
                           0.85      17.21       13.41       13.06     1.32    [1.29,1.34]      1.28
                           0.86      18.72       14.02       13.94     1.34    [1.32,1.38]      1.34
                           0.87      20.66       19.86       17.13     1.21    [1.33,1.41]      1.04
                           0.88      22.92       20.99       17.16     1.34    [1.35,1.43]      1.09
                           0.89      24.89       22.18       18.01     1.38    [1.36,1.44]      1.12
                           0.90      28.26       23.45       21.25     1.33    [1.34,1.59]      1.21
                           0.91      37.29       24.79       23.37     1.60    [1.37,1.80]      1.50
----------------------------------------------------------------------------------------------------
      ratio100       9.3   0.55       1.28        4.22        1.26     1.01    [0.98,1.07]      0.30
                           0.56       1.56        4.22        1.48     1.05    [1.00,1.09]      0.37
                           0.57       1.82        4.22        1.74     1.05    [1.03,1.07]      0.43
                           0.58       2.07        4.22        1.95     1.06    [1.02,1.12]      0.49
                           0.59       2.40        4.22        2.18     1.10    [1.06,1.14]      0.57
                           0.60       2.64        4.22        2.44     1.08    [1.05,1.12]      0.62
                           0.61       2.92        4.22        2.73     1.07    [1.05,1.10]      0.69
                           0.62       3.27        4.22        3.02     1.08    [1.05,1.11]      0.77
                           0.63       3.61        4.22        3.34     1.08    [1.06,1.11]      0.86
                           0.64       4.01        4.22        3.70     1.08    [1.06,1.10]      0.95
                           0.65       4.41        4.22        4.22     1.04    [1.08,1.10]      1.04
                           0.66       4.85        4.75        4.65     1.04    [1.08,1.12]      1.02
                           0.67       5.31        5.03        4.85     1.09    [1.10,1.13]      1.06
                           0.68       5.70        5.32        5.11     1.12    [1.10,1.15]      1.07
                           0.69       6.19        5.63        5.44     1.14    [1.11,1.17]      1.10
                           0.70       6.71        5.96        5.79     1.16    [1.12,1.19]      1.13
                           0.71       7.21        6.30        6.16     1.17    [1.14,1.20]      1.14
                           0.72       7.60        6.67        6.56     1.16    [1.14,1.18]      1.14
                           0.73       8.02        7.05        6.96     1.15    [1.15,1.17]      1.14
                           0.74       8.55        7.46        7.31     1.17    [1.15,1.18]      1.15
                           0.75       9.18        7.89        7.93     1.16    [1.15,1.20]      1.16
                           0.76       9.89        9.68        9.45     1.05    [1.17,1.21]      1.02
                           0.77      10.45       10.05        9.56     1.09    [1.18,1.22]      1.04
                           0.78      11.03       10.43        9.68     1.14    [1.19,1.23]      1.06
                           0.79      11.59       10.83        9.79     1.18    [1.20,1.23]      1.07
                           0.80      12.17       11.24        9.99     1.22    [1.21,1.23]      1.08
                           0.81      12.87       11.67       10.44     1.23    [1.22,1.25]      1.10
                           0.82      13.63       12.11       10.91     1.25    [1.23,1.26]      1.13
                           0.83      14.72       12.57       11.73     1.25    [1.24,1.28]      1.17
                           0.84      15.87       13.05       12.42     1.28    [1.25,1.30]      1.22
                           0.85      17.09       13.55       13.14     1.30    [1.28,1.32]      1.26
                           0.86      18.40       14.06       13.90     1.32    [1.30,1.35]      1.31
                           0.87      20.10       19.66       17.32     1.16    [1.32,1.38]      1.02
                           0.88      21.78       20.87       17.34     1.26    [1.34,1.39]      1.04
                           0.89      23.58       22.15       17.36     1.36    [1.35,1.41]      1.06
                           0.90      26.61       23.50       19.90     1.34    [1.32,1.59]      1.13
                           0.91      38.09       24.94       23.51     1.62    [1.32,2.99]      1.53
----------------------------------------------------------------------------------------------------

fidelity ceiling by method
         point         threshold    adaptive_count     adaptive_mmpp
      ratio0.5            0.8769            0.8689            0.8853
     ratio1.88            0.8781            0.8803            0.8917
     ratio7.07            0.8964            0.8953            0.9058
     ratio26.6            0.9142            0.9108            0.9244
      ratio100            0.9125            0.9103            0.9308

end-to-end speedup including per-shot overhead (F* = 0.85)
      ratio0.5   0 us: 1.33x,  5 us: 1.24x,  20 us: 1.13x,  100 us: 1.04x
     ratio1.88   0 us: 1.35x,  5 us: 1.26x,  20 us: 1.14x,  100 us: 1.04x
     ratio7.07   0 us: 1.31x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.04x
     ratio26.6   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
      ratio100   0 us: 1.30x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.03x
