
====================================================================================================
RATE-NOISE CORRELATION-TIME SWEEP (GAUSSIAN, SIGMA = 0.2): run-time reduction at matched balanced fidelity
  Noise much faster than the 120 us bright dwell averages out within a dwell; noise much slower is quasi-static and the calibrated cutoff absorbs it. The damage should peak in between.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: ou rate noise, sigma = 0.2, tau_c = 0.01 ms, photon order 3.98287, mean-renormalised
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.76       9.42        9.39       9.40        9.36     1.01    [1.00,1.20]    1.00      1.00
                           0.77      10.00        9.79       9.80        9.45     1.06    [1.03,1.09]    1.02      1.02
                           0.78      10.68       10.22      10.22        9.54     1.12    [1.09,1.15]    1.04      1.05
                           0.79      11.40       10.66      10.66        9.64     1.18    [1.15,1.22]    1.07      1.07
                           0.80      12.19       11.11      11.12        9.82     1.24    [1.22,1.25]    1.10      1.10
                           0.81      13.29       11.59      11.60       10.55     1.26    [1.25,1.27]    1.15      1.15
                           0.82      14.28       12.09      12.10       11.24     1.27    [1.17,1.28]    1.18      1.18
                           0.83      15.34       12.61      12.62       12.39     1.24    [1.20,1.28]    1.22      1.22
                           0.84      16.66       13.16      13.16       12.67     1.31    [1.28,1.33]    1.27      1.27
                           0.85      18.11       13.72      13.73       13.53     1.34    [1.32,1.35]    1.32      1.32
                           0.86      19.92       19.45      19.45       15.86     1.26    [1.18,1.36]    1.02      1.02
                           0.87      22.18       20.71      20.71       16.47     1.35    [1.27,1.39]    1.07      1.07
                           0.88      25.32       22.05      22.05       18.00     1.41    [1.18,1.42]    1.15      1.15
                           0.89      29.03       23.48      23.48       22.02     1.32    [1.24,1.47]    1.24      1.24
--------------------------------------------------------------------------------------------------------------------
      tau0.3ms      10.4   0.55       1.19        4.22       4.22        1.16     1.03    [1.02,1.09]    0.28      0.28
                           0.56       1.48        4.22       4.22        1.40     1.05    [1.03,1.07]    0.35      0.35
                           0.57       1.77        4.22       4.22        1.70     1.04    [1.03,1.05]    0.42      0.42
                           0.58       2.08        4.22       4.22        1.94     1.07    [1.05,1.10]    0.49      0.49
                           0.59       2.42        4.22       4.22        2.20     1.10    [1.07,1.12]    0.57      0.57
                           0.60       2.70        4.22       4.22        2.50     1.08    [1.06,1.10]    0.64      0.64
                           0.61       3.02        4.22       4.22        2.81     1.07    [1.06,1.08]    0.72      0.72
                           0.62       3.35        4.22       4.22        3.09     1.08    [1.07,1.10]    0.79      0.79
                           0.63       3.69        4.22       4.22        3.40     1.09    [1.07,1.10]    0.88      0.88
                           0.64       4.06        4.22       4.22        3.73     1.09    [0.99,1.10]    0.96      0.96
                           0.65       4.43        4.22       4.22        4.22     1.05    [1.01,1.09]    1.05      1.05
                           0.66       4.82        4.76       4.76        4.63     1.04    [1.04,1.11]    1.01      1.01
                           0.67       5.25        5.02       5.02        4.82     1.09    [1.06,1.12]    1.05      1.05
                           0.68       5.71        5.30       5.30        5.06     1.13    [1.11,1.14]    1.08      1.08
                           0.69       6.16        5.60       5.60        5.38     1.15    [1.13,1.16]    1.10      1.10
                           0.70       6.61        5.91       5.91        5.73     1.15    [1.14,1.17]    1.12      1.12
                           0.71       7.04        6.25       6.25        6.10     1.15    [1.14,1.17]    1.13      1.13
                           0.72       7.51        6.60       6.60        6.50     1.16    [1.15,1.17]    1.14      1.14
                           0.73       8.01        6.97       6.97        6.91     1.16    [1.15,1.16]    1.15      1.15
                           0.74       8.56        7.36       7.36        7.33     1.17    [1.09,1.17]    1.16      1.16
                           0.75       9.16        7.77       7.77        7.90     1.16    [1.00,1.18]    1.18      1.18
                           0.76       9.81        9.63       9.63        9.43     1.04    [1.01,1.08]    1.02      1.02
                           0.77      10.45       10.04      10.04        9.54     1.10    [1.06,1.13]    1.04      1.04
                           0.78      11.13       10.47      10.47        9.65     1.15    [1.12,1.19]    1.06      1.06
                           0.79      11.90       10.91      10.91        9.77     1.22    [1.18,1.23]    1.09      1.09
                           0.80      12.73       11.38      11.38       10.25     1.24    [1.23,1.25]    1.12      1.12
                           0.81      13.63       11.86      11.86       10.85     1.26    [1.25,1.26]    1.15      1.15
                           0.82      14.61       12.37      12.37       12.26     1.19    [1.16,1.27]    1.18      1.18
                           0.83      15.70       12.89      12.89       12.51     1.26    [1.21,1.29]    1.22      1.22
                           0.84      16.95       13.44      13.44       13.20     1.28    [1.25,1.32]    1.26      1.26
                           0.85      18.55       14.01      14.01       13.89     1.34    [1.21,1.35]    1.32      1.32
                           0.86      20.34       19.71      19.71       16.13     1.26    [1.18,1.32]    1.03      1.03
                           0.87      22.69       20.83      20.84       16.71     1.36    [1.29,1.39]    1.09      1.09
                           0.88      25.06       22.02      22.03       18.10     1.38    [1.15,1.40]    1.14      1.14
                           0.89      28.26       23.28      23.28       21.29     1.33    [1.21,1.38]    1.21      1.21
                           0.90      37.02       24.60      24.61       22.90     1.62    [1.22,1.73]    1.50      1.50
--------------------------------------------------------------------------------------------------------------------
        tau1ms      10.4   0.55       1.29        4.22       4.22        1.23     1.05    [1.03,1.08]    0.31      0.31
                           0.56       1.55        4.22       4.22        1.48     1.05    [1.03,1.07]    0.37      0.37
                           0.57       1.83        4.22       4.22        1.77     1.04    [1.03,1.05]    0.43      0.43
                           0.58       2.14        4.22       4.22        2.01     1.07    [1.04,1.09]    0.51      0.51
                           0.59       2.44        4.22       4.22        2.28     1.07    [1.05,1.10]    0.58      0.58
                           0.60       2.79        4.22       4.22        2.60     1.08    [1.06,1.10]    0.66      0.66
                           0.61       3.07        4.22       4.22        2.88     1.07    [1.06,1.08]    0.73      0.73
                           0.62       3.39        4.22       4.22        3.12     1.08    [1.07,1.10]    0.80      0.80
                           0.63       3.68        4.22       4.22        3.39     1.09    [1.07,1.10]    0.87      0.87
                           0.64       4.00        4.22       4.22        3.68     1.09    [1.00,1.09]    0.95      0.95
                           0.65       4.35        4.22       4.22        4.22     1.03    [1.00,1.09]    1.03      1.03
                           0.66       4.72        4.70       4.70        4.29     1.10    [1.05,1.11]    1.01      1.01
                           0.67       5.08        4.97       4.97        4.74     1.07    [1.05,1.10]    1.02      1.02
                           0.68       5.46        5.25       5.25        4.92     1.11    [1.09,1.12]    1.04      1.04
                           0.69       5.89        5.55       5.55        5.24     1.12    [1.11,1.14]    1.06      1.06
                           0.70       6.36        5.86       5.86        5.60     1.14    [1.12,1.15]    1.09      1.09
                           0.71       6.87        6.19       6.19        5.98     1.15    [1.14,1.17]    1.11      1.11
                           0.72       7.39        6.54       6.54        6.38     1.16    [1.15,1.17]    1.13      1.13
                           0.73       7.92        6.91       6.91        6.82     1.16    [1.16,1.17]    1.15      1.15
                           0.74       8.51        7.31       7.31        7.27     1.17    [1.10,1.18]    1.16      1.16
                           0.75       9.13        7.72       7.72        7.89     1.16    [1.01,1.18]    1.18      1.18
                           0.76       9.76        9.60       9.60        9.42     1.04    [1.01,1.19]    1.02      1.02
                           0.77      10.42       10.00      10.00        9.53     1.09    [1.06,1.13]    1.04      1.04
                           0.78      11.12       10.43      10.43        9.64     1.15    [1.12,1.19]    1.07      1.07
                           0.79      11.88       10.87      10.87        9.76     1.22    [1.18,1.23]    1.09      1.09
                           0.80      12.66       11.33      11.33       10.21     1.24    [1.23,1.25]    1.12      1.12
                           0.81      13.47       11.81      11.81       10.74     1.25    [1.25,1.26]    1.14      1.14
