
====================================================================================================
SWITCHING-RATE RATIO SWEEP AT FIXED GAMMA_TOT: run-time reduction at matched balanced fidelity
  Gamma_tot is held fixed, so blinks per window are constant and only the bright/dark asymmetry (p_bright = 1/(1+ratio)) varies.
  detector: non-paralyzable dead time 50 ns, afterpulse p = 0.01 with tau = 100 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
                           0.69       5.72        5.42        4.99     1.15    [1.12,1.17]      1.06
                           0.70       6.14        5.70        5.31     1.16    [1.13,1.18]      1.08
                           0.71       6.56        6.00        5.65     1.16    [1.13,1.19]      1.09
                           0.72       6.97        6.32        6.01     1.16    [1.14,1.18]      1.10
                           0.73       7.44        6.65        6.40     1.16    [1.14,1.18]      1.12
                           0.74       7.96        7.00        6.81     1.17    [1.15,1.19]      1.14
                           0.75       8.81        7.36        7.84     1.12    [1.17,1.20]      1.20
                           0.76       9.29        7.75        7.84     1.19    [1.17,1.21]      1.20
                           0.77       9.78        9.65        9.43     1.04    [1.17,1.22]      1.01
                           0.78      10.55       10.04        9.54     1.11    [1.18,1.23]      1.05
                           0.79      11.36       10.45        9.64     1.18    [1.20,1.24]      1.09
                           0.80      12.19       10.88        9.82     1.24    [1.22,1.25]      1.12
                           0.81      12.92       11.32       10.30     1.25    [1.24,1.27]      1.14
                           0.82      13.76       11.79       10.83     1.27    [1.25,1.29]      1.17
                           0.83      14.91       12.27       11.55     1.29    [1.27,1.32]      1.22
                           0.84      16.23       12.77       12.38     1.31    [1.29,1.33]      1.27
                           0.85      17.40       13.29       13.10     1.33    [1.31,1.34]      1.31
                           0.86      18.46       13.83       13.78     1.34    [1.32,1.37]      1.33
                           0.87      20.10       19.67       15.69     1.28    [1.31,1.40]      1.02
                           0.88      23.26       21.05       16.77     1.39    [1.32,1.43]      1.10
                           0.89      25.96       22.53       19.96     1.30    [1.37,1.56]      1.15
                           0.90      34.59       24.12       22.92     1.51    [1.37,1.73]      1.43
----------------------------------------------------------------------------------------------------
      ratio100       9.3   0.55       1.30        4.22        1.23     1.05    [1.02,1.12]      0.31
                           0.56       1.55        4.22        1.46     1.06    [1.03,1.10]      0.37
                           0.57       1.79        4.22        1.73     1.04    [1.03,1.09]      0.42
                           0.58       2.09        4.22        1.98     1.06    [1.02,1.10]      0.50
                           0.59       2.47        4.22        2.27     1.09    [1.03,1.12]      0.59
                           0.60       2.80        4.22        2.61     1.07    [1.05,1.11]      0.66
                           0.61       3.14        4.22        2.90     1.08    [1.06,1.13]      0.74
                           0.62       3.50        4.22        3.17     1.10    [1.07,1.13]      0.83
                           0.63       3.79        4.22        3.47     1.09    [1.07,1.12]      0.90
                           0.64       4.13        4.22        3.79     1.09    [1.08,1.10]      0.98
                           0.65       4.42        4.22        4.22     1.05    [1.08,1.10]      1.05
                           0.66       4.74        4.71        4.33     1.09    [1.08,1.11]      1.01
                           0.67       5.12        4.95        4.77     1.07    [1.09,1.12]      1.03
                           0.68       5.46        5.21        4.93     1.11    [1.09,1.12]      1.05
                           0.69       5.82        5.47        5.22     1.11    [1.09,1.14]      1.06
                           0.70       6.25        5.75        5.54     1.13    [1.10,1.16]      1.09
                           0.71       6.66        6.04        5.87     1.13    [1.11,1.16]      1.10
                           0.72       7.06        6.35        6.23     1.13    [1.11,1.16]      1.11
                           0.73       7.61        6.68        6.60     1.15    [1.12,1.17]      1.14
                           0.74       8.19        7.02        7.01     1.17    [1.16,1.18]      1.17
                           0.75       8.76        7.38        7.87     1.11    [1.17,1.19]      1.19
                           0.76       9.29        7.75        7.87     1.18    [1.18,1.21]      1.20
                           0.77       9.83        9.61        9.43     1.04    [1.18,1.22]      1.02
                           0.78      10.46        9.99        9.54     1.10    [1.18,1.23]      1.05
                           0.79      11.17       10.39        9.65     1.16    [1.19,1.24]      1.08
                           0.80      12.04       10.80        9.77     1.23    [1.21,1.25]      1.12
                           0.81      12.73       11.23       10.20     1.25    [1.23,1.26]      1.13
                           0.82      13.41       11.67       10.66     1.26    [1.24,1.27]      1.15
                           0.83      14.33       12.14       11.28     1.27    [1.25,1.29]      1.18
                           0.84      15.37       12.62       11.94     1.29    [1.27,1.30]      1.22
                           0.85      16.46       13.12       12.61     1.31    [1.29,1.32]      1.25
                           0.86      17.66       13.64       13.45     1.31    [1.29,1.33]      1.29
                           0.87      19.12       19.03       14.41     1.33    [1.31,1.37]      1.00
                           0.88      21.36       20.23       17.09     1.25    [1.33,1.42]      1.06
                           0.89      23.99       21.52       17.20     1.39    [1.35,1.43]      1.11
                           0.90      27.29       22.88       20.96     1.30    [1.37,1.47]      1.19
                           0.91      32.86       24.32       22.83     1.44    [1.36,1.80]      1.35
----------------------------------------------------------------------------------------------------

fidelity ceiling by method
         point         threshold    adaptive_count     adaptive_mmpp
      ratio0.5            0.8739            0.8678            0.8792
     ratio1.88            0.8956            0.8933            0.9017
     ratio7.07            0.9014            0.9008            0.9092
     ratio26.6            0.9050            0.9033            0.9197
      ratio100            0.9117            0.9131            0.9297

end-to-end speedup including per-shot overhead (F* = 0.85)
      ratio0.5   0 us: 1.36x,  5 us: 1.26x,  20 us: 1.15x,  100 us: 1.04x
     ratio1.88   0 us: 1.35x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
     ratio7.07   0 us: 1.30x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.04x
     ratio26.6   0 us: 1.33x,  5 us: 1.24x,  20 us: 1.13x,  100 us: 1.04x
      ratio100   0 us: 1.31x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.03x
