experiment,detector,physics_layer,point_index,point,target_fidelity,t_threshold_us,t_exact_mmpp_us,t_grid_sprt_us,t_exhaustion_us,t_learned_us,speedup_exact_mmpp,speedup_exact_mmpp_ci_low,speedup_exact_mmpp_ci_high,speedup_grid_sprt,speedup_grid_sprt_ci_low,speedup_grid_sprt_ci_high,speedup_exhaustion,speedup_exhaustion_ci_low,speedup_exhaustion_ci_high,speedup_learned,speedup_learned_ci_low,speedup_learned_ci_high
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.83,2.6300081570145792,2.033859900817355,2.3959652310298103,2.3959652310298103,2.1712563275782975,1.2931117605286617,1.2355283548754474,1.3143035017402183,1.097682104461998,1.0562364755785996,1.1434144844797653,1.097682104461998,1.0562364755785996,1.1434144844797653,1.211284049519823,1.1950092254644278,1.2307485082088119
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.84,2.865632146514539,2.217607887907085,2.4340868870423904,2.4340868870423904,2.3218295596723713,1.2922176919288653,1.2320070662962566,1.3440976936524986,1.1772924630461776,1.132869743737336,1.2226174928978264,1.1772924630461776,1.132869743737336,1.2226174928978264,1.2342129656230678,1.2165257664778306,1.2539317962516847
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.85,3.155102596741774,2.661569405961178,2.9086646180891664,2.9086646180891664,2.4924940946387104,1.1854293897710195,1.1661540102553418,1.3504977568282774,1.0847254706231837,1.076132181627577,1.270156770056039,1.0847254706231837,1.076132181627577,1.270156770056039,1.2658415534577663,1.2421696452964688,1.2787933670554434
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.86,3.587681264880153,2.7523690515834898,3.1032194792239567,3.1032194792239567,2.804179693962544,1.3034884485480216,1.2141506692542132,1.402258112127502,1.1561158625420038,1.1051957860251,1.2068143488245104,1.1561158625420038,1.1051957860251,1.2068143488245104,1.2794049085386732,1.2523476408887388,1.3085996347184286
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.87,4.2337448563569176,3.0710593283541576,3.3096810414942643,3.3096810414942643,3.174584803168496,1.378594290663172,1.321196074903488,2.2490437320971695,1.279200262284324,1.1871768554208149,2.1085751119477685,1.279200262284324,1.1871768554208149,2.1085751119477685,1.3336373475143246,1.2903246088971085,2.1654431423026543
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.88,9.02172338804034,4.037500005358844,3.8317917890424327,3.828136917217567,3.6363165318660893,2.2344825699234914,1.422768786817049,2.802552667584519,2.3544398768845616,1.3791373351767815,2.755267280881279,2.3566877525889707,1.3791373351767815,2.755267280881279,2.4810060700107863,1.3802038674389063,2.777244305561338
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.89,nan,4.094043850115394,4.723823947853076,4.723823947853076,4.165205448827572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.55,0.5027504469272159,0.482898063400078,1.953125,1.953125,1.9540744357638888,1.0411109197401986,1.0183026745771717,1.0731165968031606,0.25740822882673453,0.24139157799821323,0.2815574330422614,0.25740822882673453,0.24139157799821323,0.2815574330422614,0.25728316062365364,0.24129104006485289,0.28144065485315967
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.56,0.6107877841884277,0.5781821061536317,1.953125,1.953125,1.9540744357638888,1.0563934402116073,1.0356581329904866,1.0766122776366576,0.312723345504475,0.29404498080773767,0.3342087438870259,0.312723345504475,0.29404498080773767,0.3342087438870259,0.31257140107339765,0.29379585255885704,0.33404578003156704
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.57,0.7120969007734484,0.6801555819089335,1.953125,1.953125,1.9540744357638888,1.0469617830303883,1.0359860711577893,1.0667201836662143,0.3645936131960056,0.34555784893819685,0.38788672180783185,0.3645936131960056,0.34555784893819685,0.38788672180783185,0.36441646630266405,0.34539114851890856,0.3877514124070579
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.58,0.8212235307214927,0.7602981015229651,1.953125,1.953125,1.9540744357638888,1.0801336069056162,1.0572479917387523,1.1012394777285708,0.4204664477294042,0.39777736437506805,0.44492616013830116,0.4204664477294042,0.39777736437506805,0.44492616013830116,0.42026215362694674,0.39763653783247555,0.4447064188316639
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.59,0.9178399752442676,0.8498837891722556,1.953125,1.953125,1.9540744357638888,1.0799593861393662,1.0614206098777221,1.0994044899654571,0.46993406732506504,0.4492099538762616,0.4981248474918769,0.46993406732506504,0.4492099538762616,0.4981248474918769,0.4697057381467992,0.4490526830399696,0.4978154427277891
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.6,1.0268543640467018,0.9500253303946644,1.953125,1.953125,1.9540744357638888,1.0808705107053522,1.0637613146306462,1.0949237110770536,0.5257494343919114,0.5009919532058463,0.55599239481155,0.5257494343919114,0.5009919532058463,0.55599239481155,0.5254939859265304,0.5007377211918687,0.5557965140212651
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.61,1.1333934135276946,1.0603533630521844,1.953125,1.953125,1.9540744357638888,1.068882745149473,1.0621078909384118,1.081211805529111,0.5802974277261796,0.5563376630053535,0.6144288822256904,0.5802974277261796,0.5563376630053535,0.6144288822256904,0.5800154757587969,0.5559273984741427,0.614333939103205
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.62,1.2653369601099331,1.1638681457206341,1.953125,1.953125,1.9540744357638888,1.0871823967022247,1.072169349861292,1.1067456738002195,0.6478525235762858,0.6150259271381382,0.6878704215183431,0.6478525235762858,0.6150259271381382,0.6878704215183431,0.6475377482819821,0.6148498013300548,0.6876244986076022
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.63,1.4024392957636533,1.2774883428709622,1.953125,1.953125,1.9540744357638888,1.097809857592816,1.0820263129449081,1.1175509155735708,0.7180489194309905,0.6836591229800041,0.7565860198958969,0.7180489194309905,0.6836591229800041,0.7565860198958969,0.7177000374683323,0.6831917958830098,0.7559678862094097
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.64,1.534928105340321,1.4022004744882197,1.953125,1.953125,1.9540744357638888,1.0946566723282165,1.0083502608217065,1.1032956693911995,0.7858831899342443,0.7517953719202166,0.82825806981631,0.7858831899342443,0.7517953719202166,0.82825806981631,0.7855013490007023,0.751534553878283,0.8281329748098435
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.65,1.670003723042549,1.5935800304908796,1.953125,1.953125,1.9540744357638888,1.0479572353376745,1.0118650369120765,1.0949334655119982,0.8550419061977851,0.818652396329711,0.9007730555707859,0.8550419061977851,0.818652396329711,0.9007730555707859,0.854626462778379,0.8184747794312534,0.9003459814735
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.66,1.8078602181022323,1.6539540933295769,1.953125,1.953125,1.9540744357638888,1.0930534441030506,1.0451553823036754,1.106750957150426,0.925624431668343,0.8883953199472159,0.9644439157651074,0.925624431668343,0.8883953199472159,0.9644439157651074,0.9251746939698854,0.8878450285213693,0.9642054962991012
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.67,1.9422563126360675,1.806202715749023,1.953125,1.953125,1.97010429970635,1.0753257625518648,1.0559448133364842,1.0972164917553218,0.9944352320696666,0.9549763380414701,1.0087382176672437,0.9944352320696666,0.9549763380414701,1.0087382176672437,0.9858647143329247,0.9545769430772779,0.999662270609943
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,0.68,2.103580022330913,1.883132699748424,2.0647233035927384,2.0647233035927384,2.0836230606848054,1.117064146680656,1.0964583113410575,1.1301346266706749,1.0188193346152299,1.003374792706436,1.0365871150326758,1.0188193346152299,1.003374792706436,1.0365871150326758,1.009578009584684,0.9930221071949165,1.0298843267101958
